,text
41,So Elon Musk just openly stated he fired an employee for being disabled. https://t.co/3jYN9HdDLL
42,Worker asks Elon Musk on Twitter: Have I been fired? https://t.co/BeZNcqdRL4
43,"@ProfessorF @elonmusk @anothercohen Imagine being a cuck for Elon Weirdo Musk? 😂😂 Jesus Christ man, grow some balls."
44,Worker asks Elon Musk on Twitter: Have I been fired? #ElonMusk is such a clusterfuck. Can you imagine what Tesla would be like if he was still toiling around the place. https://t.co/nEwOdgM59X
45,"@biasbe @iamharaldur @elonmusk Saying Elon Musk inherited an emerald mine, to imply he didn't work for his money is fake indeed. His father owned a 50% stake in an emerald mine and was active in opposing the National Party and their apartheid. As far as I'm aware Elon Musk didn't inherit anything."
46,"Congrats to Elon Musk, one of the worst to ever do it"
47,@parismarx Oh my god Elon Musk stans actually have the emotional intelligence of children they genuinely cannot take people criticising tweet daddy these replies are insane
48,Elon Musk is one pathetic insensitive piece of shit. https://t.co/2Y7dCOcHhu
49,"At this rate Elon musk is promoting toxic work boss. 

WTF! Did I just read 😭"
50,"Must read thread by a brilliant, resilient person attacked by Elon Musk. $TSLA #SpaceX #Tesla https://t.co/VPOF3tkqez"
51,"Thank god for Elon Musk. 
#DemocratsAreEvil 
#DemocratsDividingAndDestroyingaAmerica https://t.co/XQL4XQhDJa"
52,i am not surprised elon musk does not understand the simple idea of signing a contract
53,"Good night misogynists (even Elon Musk, who won misogynist tweet of the day with his non-hilarious meme.)
Good night trolls.
Good night people who'd rather State their opinion than Google one fact about what they're talking about."
54,About the guy Elon Musk is trying to bully and embarrass right now https://t.co/bu5VcD7l0R
55,"Dogecoin Founder Refuses to Help Elon Musk, Shiba Inu’s Metaverse to Be Featured at SXSW Texas https://t.co/peIZZsxMBn"
56,"@sofizamolo it's not me, elon musk is shilling #hamstercoin https://t.co/0uwNlvfxqm"
57,@NickatFP Who can even blame him when they are probably plotting a coup against him though? 🫢😝https://t.co/KEch1I7Jol
58,"Elon Musk torches House Jan. 6 committee for 'misleading the public,' withholding evidence: 'deeply wrong'

https://t.co/zUl28TlP5w"
